Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,C,Mg,Zn,Si,Re,N,Sc,Li,Sn,Be,Num_of_Elem,Density_calc,dHmix,dSmix,dGmix,Tm,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Sythesis_Route,Homogenization_Temp,Homogenization_Time,Annealing_Time_(min),Phases
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.05,0.0,0.275,0.275,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.493765586,0.98,11.44944891,532.6585373,2036.537698,26.98433807,4.495453867,0.114716771,4.1,1,1200.0,120.0,30.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.9,2.72,13.38,655.02398,2523.0,12.41,4.01,0.12,4.4,1,1050.0,120.0,240.0,1
0.0,0.333333333,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.28,-4.89,9.13,499.23715,1892.0,3.54,1.12,0.11,8.33,1,1000.0,1440.0,30.0,2
0.217391304,0.0,0.217391304,0.217391304,0.130434783,0.217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.604060314,-2.684310019,13.24232516,322.4388451,1241.31666,7.471215999,5.75975798,0.123320475,7.391304348,1,1200.0,120.0,240.0,3
0.208333333,0.0,0.208333333,0.208333333,0.166666667,0.208333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.686598736,-3.402777778,13.35141737,324.5653105,1250.030753,5.976476657,5.693612317,0.123883906,7.5,1,1200.0,120.0,240.0,3
0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.763408628,-4.0,13.38161053,326.6104126,1258.055769,5.122499809,5.628086233,0.124161186,7.6,1,1200.0,120.0,240.0,3
0.192307692,0.0,0.192307692,0.192307692,0.230769231,0.192307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.835066367,-4.49704142,13.35788527,328.5648965,1265.470333,4.570274536,5.563457859,0.124213502,7.692307692,1,1200.0,120.0,240.0,3
0.185185185,0.0,0.185185185,0.185185185,0.259259259,0.185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.902073515,-4.910836763,13.2962002,330.4270239,1272.341548,4.18445288,5.499922873,0.124087893,7.777777778,1,1200.0,120.0,240.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.655937237,-3.52,11.07635214,519.0767653,1981.8,7.095630755,7.746075475,0.273890489,4.8,1,1200.0,120.0,1400.0,1
0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.025760676,-4.16,13.38,467.623384,1801.2,5.79,0.92,0.14,8.0,1,1100.0,360.0,60.0,2
0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.025760676,-4.16,13.38,467.623384,1801.2,5.79,0.92,0.14,8.0,1,1100.0,360.0,60.0,2
0.0,0.0,0.3125,0.3125,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.03125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.904708836,-4.83203125,10.86752061,498.0660943,1900.073304,4.887706188,3.597630783,0.147477488,6.28125,1,1200.0,120.0,1500.0,1
